File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\LoremIpsum.java,157,93,45,15,16,0,48,154,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\MicrosoftBreakSentences.java,45,28,20,3,7,0,10,58,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\MicrosoftDetect.java,71,44,32,5,10,0,17,84,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\MicrosoftSpeak.java,40,25,18,2,5,0,10,57,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\MicrosoftTranslate.java,123,56,38,7,18,0,49,287,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\MicrosoftTranslatorAPI.java,331,209,153,32,34,0,88,550,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\NativeApp.java,790,593,537,20,65,4,132,394,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\NiceScrollBar.java,131,110,104,5,4,83,17,851,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\SimpleImageInfo.java,261,198,148,26,27,9,36,192,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\SortClass.java,15,11,8,0,4,0,0,0,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeAudioPlayer.java,50,37,30,1,10,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeBadge.java,53,41,34,1,9,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeButton.java,72,56,49,1,9,0,7,28,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeCalendar.java,50,31,24,1,8,0,11,36,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeCard.java,59,47,40,1,9,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeCell.java,115,75,67,1,14,1,26,62,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeChart.java,166,143,132,3,14,0,9,43,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeChat.java,113,74,59,4,20,0,19,65,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeCheckbox.java,81,65,58,1,13,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeChip.java,46,35,28,1,8,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeChronologyList.java,109,84,67,5,16,0,9,43,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeCombo.java,84,69,62,1,8,0,7,28,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeComposer.java,160,118,98,6,26,0,16,149,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeContainer.java,48,34,27,1,10,0,4,23,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeCustomCard.java,51,38,31,1,10,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeDateTimePicker.java,186,156,149,1,19,0,11,36,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeDateTimeScroller.java,90,74,67,1,9,0,7,28,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeDivider.java,41,29,22,1,9,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeDocumentViewer.java,37,24,17,1,10,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeEditor.java,94,73,66,1,16,0,5,26,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeFileManager.java,114,98,91,1,13,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeImageSlider.java,69,57,50,1,9,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeInfiniteScroller.java,41,28,21,1,10,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeInput.java,182,131,122,2,21,0,30,71,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeLabel.java,122,65,58,1,17,0,40,82,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeList.java,174,124,106,6,22,0,28,57,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeMHead.java,35,25,17,1,10,0,0,0,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeMMenu.java,194,154,122,7,37,0,3,7,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeModalSheet.java,50,38,31,1,9,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeMsgBox.java,127,109,99,2,15,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemeNavigationBar.java,236,187,180,1,31,0,18,48,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemePage.java,228,176,142,14,23,0,29,127,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemePagination.java,63,52,45,1,8,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemePatternLock.java,58,47,40,1,8,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemePDFViewer.java,47,33,26,1,11,0,3,20,0,0
K:\DATA\Workspace\ABMaterial\src\com\ab\abmaterial\ThemePercentSlider.java,179,84,71,5,25,0,70,137,0,0
